# Per-draw recency score (sum of gaps for all 6 numbers)
# score is empty for early draws where not all numbers have been seen yet
date	score
1955-10-09	
1955-10-16	
1955-10-23	
1955-10-30	
1955-11-06	
1955-11-13	
1955-11-20	
1955-11-27	
1955-12-04	
1955-12-11	
1955-12-18	
1955-12-25	
1956-01-01	23
1956-01-08	33
1956-01-15	
1956-01-22	
1956-01-29	
1956-02-05	21
1956-02-12	
1956-02-19	29
1956-02-26	
1956-03-04	48
1956-03-11	
1956-03-18	66
1956-03-25	37
1956-04-02	
1956-04-08	
1956-04-15	60
1956-04-22	44
1956-04-29	65
1956-05-06	39
1956-05-13	19
1956-05-21	39
1956-05-27	43
1956-06-03	
1956-06-10	57
1956-06-17	31
1956-06-24	27
1956-07-01	84
1956-07-08	64
1956-07-15	30
1956-07-22	41
1956-07-29	53
1956-08-05	33
1956-08-12	52
1956-08-19	43
1956-08-26	65
1956-09-02	33
1956-09-09	
1956-09-16	35
1956-09-23	34
1956-09-30	59
1956-10-07	31
1956-10-14	49
1956-10-21	83
1956-10-28	33
1956-11-04	77
1956-11-11	30
1956-11-18	47
1956-11-25	30
1956-12-02	44
1956-12-09	67
1956-12-16	77
1956-12-23	61
1957-01-06	34
1957-01-13	38
1957-01-20	56
1957-01-27	43
1957-02-03	64
1957-02-10	37
1957-02-17	39
1957-02-24	25
1957-03-03	43
1957-03-10	18
1957-03-17	76
1957-03-24	52
1957-03-31	59
1957-04-07	31
1957-04-14	37
1957-04-22	21
1957-04-28	60
1957-05-05	52
1957-05-12	53
1957-05-19	57
1957-05-26	38
1957-06-02	31
1957-06-10	65
1957-06-16	53
1957-06-23	101
1957-06-30	89
1957-07-07	76
1957-07-14	37
1957-07-21	50
1957-07-28	51
1957-08-04	55
1957-08-11	84
1957-08-18	24
1957-08-25	42
1957-09-01	47
1957-09-08	33
1957-09-15	43
1957-09-22	53
1957-09-29	37
1957-10-06	33
1957-10-13	78
1957-10-20	33
1957-10-27	56
1957-11-03	63
1957-11-10	40
1957-11-17	29
1957-11-24	29
1957-12-01	25
1957-12-08	65
1957-12-15	45
1957-12-22	41
1957-12-29	25
1958-01-05	94
1958-01-12	47
1958-01-19	46
1958-01-26	36
1958-02-02	60
1958-02-09	55
1958-02-16	32
1958-02-23	73
1958-03-02	44
1958-03-09	80
1958-03-16	51
1958-03-23	30
1958-03-30	46
1958-04-07	61
1958-04-13	73
1958-04-20	31
1958-04-27	47
1958-05-04	69
1958-05-11	32
1958-05-18	51
1958-05-25	47
1958-06-01	53
1958-06-08	30
1958-06-15	17
1958-06-22	26
1958-06-29	39
1958-07-06	44
1958-07-13	49
1958-07-20	60
1958-07-27	93
1958-08-03	47
1958-08-10	43
1958-08-17	52
1958-08-24	54
1958-08-31	36
1958-09-07	29
1958-09-14	74
1958-09-21	33
1958-09-28	38
1958-10-05	80
1958-10-12	72
1958-10-19	36
1958-10-26	35
1958-11-02	37
1958-11-09	92
1958-11-16	22
1958-11-23	18
1958-11-30	11
1958-12-07	59
1958-12-14	55
1958-12-21	55
1958-12-28	55
1959-01-04	36
1959-01-11	27
1959-01-18	51
1959-01-25	37
1959-02-01	42
1959-02-08	23
1959-02-15	33
1959-02-22	27
1959-03-01	56
1959-03-08	100
1959-03-15	39
1959-03-22	47
1959-03-29	95
1959-04-05	18
1959-04-12	56
1959-04-19	72
1959-04-26	46
1959-05-03	64
1959-05-10	32
1959-05-17	45
1959-05-24	17
1959-05-31	51
