# Per-number frequency: overall and rolling windows (sorted by total descending)
# trend: hot (last50 > 115% of overall), cold (< 85%), neutral (in between)
number	total	rate_all	rate_last20	rate_last50	rate_last100	trend
6	373	0.1416	0.0500	0.1400	0.1200	neutral
11	360	0.1366	0.1500	0.1400	0.1400	neutral
26	349	0.1324	0.0500	0.1400	0.1000	neutral
33	347	0.1317	0.1000	0.1200	0.0900	neutral
43	347	0.1317	0.1500	0.0800	0.0800	cold
25	346	0.1313	0.1500	0.1600	0.1200	hot
22	345	0.1309	0.0500	0.0800	0.0800	cold
7	344	0.1306	0.2000	0.2600	0.1800	hot
4	340	0.1290	0.0500	0.1000	0.1400	cold
29	338	0.1283	0.2000	0.2000	0.1500	hot
31	337	0.1279	0.0000	0.0200	0.0400	cold
1	334	0.1268	0.1500	0.1000	0.1000	cold
9	334	0.1268	0.3000	0.2000	0.1800	hot
10	333	0.1264	0.1500	0.1200	0.1100	neutral
41	331	0.1256	0.0500	0.0400	0.0700	cold
49	330	0.1252	0.2500	0.1600	0.1000	hot
16	329	0.1249	0.1000	0.1200	0.1000	neutral
19	329	0.1249	0.3000	0.1400	0.1600	neutral
28	329	0.1249	0.1500	0.2000	0.1800	hot
37	328	0.1245	0.3500	0.3000	0.2600	hot
47	327	0.1241	0.0500	0.0600	0.0600	cold
24	326	0.1237	0.2000	0.1200	0.0800	neutral
17	324	0.1230	0.1000	0.1000	0.1200	cold
34	324	0.1230	0.0500	0.0200	0.0500	cold
40	324	0.1230	0.1500	0.1200	0.0900	neutral
42	324	0.1230	0.0500	0.1000	0.1100	cold
3	323	0.1226	0.0500	0.0800	0.0900	cold
5	323	0.1226	0.1500	0.1200	0.1100	neutral
27	321	0.1218	0.1000	0.1000	0.1100	cold
30	320	0.1214	0.1500	0.0800	0.1100	cold
44	320	0.1214	0.2000	0.1600	0.2000	hot
13	317	0.1203	0.1000	0.1800	0.2100	hot
2	315	0.1195	0.1000	0.1000	0.1000	cold
36	315	0.1195	0.0000	0.0800	0.1200	cold
38	314	0.1192	0.1000	0.0800	0.0900	cold
18	310	0.1176	0.0500	0.1400	0.0800	hot
8	309	0.1173	0.1500	0.1200	0.1400	neutral
20	309	0.1173	0.4000	0.2200	0.2400	hot
32	309	0.1173	0.1500	0.2000	0.1400	hot
39	307	0.1165	0.1000	0.1400	0.1500	hot
35	304	0.1154	0.1500	0.1200	0.1400	neutral
48	304	0.1154	0.0500	0.0600	0.1100	cold
23	303	0.1150	0.0000	0.0800	0.1200	cold
12	302	0.1146	0.0500	0.1200	0.1500	neutral
15	302	0.1146	0.1500	0.1200	0.1300	neutral
14	301	0.1142	0.0000	0.0200	0.0700	cold
46	290	0.1101	0.1000	0.1400	0.1300	hot
45	280	0.1063	0.1000	0.0600	0.0700	cold
21	260	0.0987	0.0500	0.1400	0.1800	hot
