# Per-number frequency broken down by draw day (Mi=Wednesday, Sa=Saturday)
# total_Mi/total_Sa: total draws on that day, rate: count / total draws for that day
# total draws: Mi=1265, Sa=1368
number	count_Mi	rate_Mi	count_Sa	rate_Sa
1	137	0.1083	197	0.1440
2	141	0.1115	174	0.1272
3	154	0.1217	169	0.1235
4	159	0.1257	181	0.1323
5	147	0.1162	175	0.1279
6	175	0.1383	198	0.1447
7	163	0.1289	180	0.1316
8	146	0.1154	163	0.1192
9	165	0.1304	169	0.1235
10	160	0.1265	173	0.1265
11	166	0.1312	194	0.1418
12	133	0.1051	168	0.1228
13	169	0.1336	148	0.1082
14	148	0.1170	153	0.1118
15	158	0.1249	144	0.1053
16	166	0.1312	163	0.1192
17	150	0.1186	174	0.1272
18	154	0.1217	156	0.1140
19	163	0.1289	166	0.1213
20	151	0.1194	157	0.1148
21	122	0.0964	138	0.1009
22	184	0.1455	161	0.1177
23	147	0.1162	156	0.1140
24	154	0.1217	171	0.1250
25	169	0.1336	177	0.1294
26	160	0.1265	189	0.1382
27	140	0.1107	181	0.1323
28	157	0.1241	172	0.1257
29	158	0.1249	179	0.1308
30	150	0.1186	169	0.1235
31	168	0.1328	169	0.1235
32	160	0.1265	149	0.1089
33	169	0.1336	177	0.1294
34	156	0.1233	167	0.1221
35	141	0.1115	163	0.1192
36	147	0.1162	168	0.1228
37	154	0.1217	174	0.1272
38	158	0.1249	156	0.1140
39	156	0.1233	151	0.1104
40	153	0.1209	171	0.1250
41	164	0.1296	167	0.1221
42	147	0.1162	176	0.1287
43	174	0.1375	173	0.1265
44	160	0.1265	160	0.1170
45	149	0.1178	131	0.0958
46	150	0.1186	139	0.1016
47	140	0.1107	187	0.1367
48	147	0.1162	157	0.1148
49	151	0.1194	178	0.1301
