# Per-number frequency broken down by year
# count columns show how many times the number was drawn that year
number	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026
1	9	15	14	9	14	15	17	13	12	10	9	10	16	5	11	12	20	13	12	14	17	10	20	12	13	8	4
2	7	22	4	11	8	16	10	12	14	17	13	9	13	15	7	11	13	11	8	14	20	6	18	11	12	11	2
3	3	11	10	9	16	7	15	17	11	14	11	10	14	19	13	17	8	15	22	12	10	5	14	14	14	10	2
4	9	16	16	15	12	11	15	12	21	12	16	11	11	13	13	12	9	13	14	13	10	9	17	14	10	14	2
5	9	6	12	17	19	14	19	7	10	13	13	10	6	14	13	9	15	11	15	15	13	8	12	8	22	10	2
6	5	17	14	13	14	16	16	15	14	13	13	19	18	17	21	16	18	11	19	12	13	9	10	13	12	14	1
7	6	11	21	11	12	19	12	15	16	14	11	8	14	16	15	16	10	16	10	10	12	7	16	13	13	15	4
8	4	9	14	15	14	9	6	16	14	16	9	18	14	7	11	10	9	6	13	10	16	7	11	10	24	13	4
9	8	12	14	16	11	17	15	12	17	11	14	11	8	15	11	9	9	15	12	12	10	9	9	12	22	16	7
10	6	12	8	13	12	12	17	16	17	17	12	15	13	12	15	10	17	8	9	11	13	9	14	12	18	12	3
11	11	13	19	14	11	11	8	16	16	15	16	16	18	15	15	13	12	15	6	17	23	5	15	7	14	15	4
12	3	17	10	10	15	7	16	10	15	9	14	13	8	15	12	16	8	14	9	14	10	5	8	15	8	18	2
13	7	9	17	9	16	4	13	16	10	13	17	14	13	9	12	8	16	11	17	14	14	4	13	6	10	22	3
14	4	9	10	18	11	13	12	16	8	15	14	15	9	14	13	14	11	13	9	8	9	7	11	13	14	11	0
15	7	13	5	12	10	7	7	15	14	13	13	11	18	11	10	13	13	11	15	12	7	13	13	9	14	12	4
16	8	9	13	12	11	16	7	10	15	13	16	17	11	14	16	15	12	13	13	12	11	6	20	12	12	12	3
17	6	13	12	18	14	10	19	12	10	11	18	11	10	16	12	13	11	17	8	13	12	7	15	13	10	11	2
