# Sum of the 6 main numbers per draw (theoretical range: 21-279, typical: ~100-200)
date	sum
1955-10-09	108
1955-10-16	144
1955-10-23	143
1955-10-30	150
1955-11-06	174
1955-11-13	156
1955-11-20	111
1955-11-27	186
1955-12-04	150
1955-12-11	134
1955-12-18	165
1955-12-25	167
1956-01-01	173
1956-01-08	169
1956-01-15	123
1956-01-22	154
1956-01-29	132
1956-02-05	194
1956-02-12	128
1956-02-19	169
1956-02-26	198
1956-03-04	134
1956-03-11	111
1956-03-18	150
1956-03-25	135
1956-04-02	139
1956-04-08	147
1956-04-15	136
1956-04-22	142
1956-04-29	179
1956-05-06	178
1956-05-13	183
1956-05-21	150
1956-05-27	190
1956-06-03	166
1956-06-10	149
1956-06-17	174
1956-06-24	160
1956-07-01	143
1956-07-08	203
1956-07-15	153
1956-07-22	127
1956-07-29	121
1956-08-05	174
1956-08-12	129
1956-08-19	132
1956-08-26	120
1956-09-02	208
1956-09-09	181
1956-09-16	112
1956-09-23	94
1956-09-30	145
1956-10-07	157
1956-10-14	132
1956-10-21	150
1956-10-28	186
1956-11-04	152
1956-11-11	169
1956-11-18	174
1956-11-25	136
1956-12-02	129
1956-12-09	112
1956-12-16	141
1956-12-23	160
1957-01-06	146
1957-01-13	91
1957-01-20	108
1957-01-27	133
1957-02-03	164
1957-02-10	143
1957-02-17	133
1957-02-24	127
1957-03-03	139
1957-03-10	143
1957-03-17	152
1957-03-24	178
1957-03-31	194
1957-04-07	153
1957-04-14	150
1957-04-22	201
1957-04-28	174
1957-05-05	127
1957-05-12	148
1957-05-19	167
1957-05-26	148
1957-06-02	119
1957-06-10	130
1957-06-16	181
1957-06-23	78
1957-06-30	188
1957-07-07	84
1957-07-14	217
1957-07-21	115
1957-07-28	116
1957-08-04	164
1957-08-11	176
1957-08-18	154
1957-08-25	201
1957-09-01	127
1957-09-08	158
1957-09-15	154
1957-09-22	119
1957-09-29	144
1957-10-06	108
1957-10-13	164
1957-10-20	166
1957-10-27	78
1957-11-03	180
1957-11-10	181
1957-11-17	157
1957-11-24	92
1957-12-01	155
1957-12-08	196
1957-12-15	124
1957-12-22	117
1957-12-29	222
1958-01-05	132
1958-01-12	146
1958-01-19	125
1958-01-26	108
1958-02-02	209
1958-02-09	220
1958-02-16	162
1958-02-23	79
1958-03-02	140
1958-03-09	131
1958-03-16	86
1958-03-23	156
1958-03-30	198
1958-04-07	205
1958-04-13	143
1958-04-20	131
1958-04-27	124
1958-05-04	174
1958-05-11	140
1958-05-18	189
1958-05-25	121
1958-06-01	186
1958-06-08	177
1958-06-15	178
1958-06-22	166
1958-06-29	105
1958-07-06	183
1958-07-13	160
1958-07-20	159
1958-07-27	230
1958-08-03	160
1958-08-10	141
1958-08-17	116
1958-08-24	205
1958-08-31	162
1958-09-07	207
1958-09-14	123
1958-09-21	87
1958-09-28	178
1958-10-05	126
1958-10-12	119
1958-10-19	198
1958-10-26	160
1958-11-02	153
1958-11-09	139
1958-11-16	171
1958-11-23	137
1958-11-30	187
1958-12-07	90
1958-12-14	138
1958-12-21	132
1958-12-28	179
1959-01-04	163
1959-01-11	188
1959-01-18	136
1959-01-25	192
1959-02-01	132
1959-02-08	103
1959-02-15	112
1959-02-22	192
1959-03-01	157
1959-03-08	113
1959-03-15	189
1959-03-22	176
1959-03-29	140
1959-04-05	136
1959-04-12	192
1959-04-19	136
1959-04-26	99
1959-05-03	154
1959-05-10	184
1959-05-17	171
1959-05-24	98
1959-05-31	165
1959-06-07	151
1959-06-14	167
1959-06-21	162
1959-06-28	147
1959-07-05	158
1959-07-12	189
1959-07-19	136
1959-07-26	195
1959-08-02	174
1959-08-09	150
1959-08-16	112
1959-08-23	148
1959-08-30	145
1959-09-06	93
1959-09-13	108
1959-09-20	207
1959-09-27	118
1959-10-04	117
1959-10-11	132
1959-10-18	155
1959-10-25	137
1959-11-01	154
1959-11-08	189
1959-11-15	134
1959-11-22	170
1959-11-29	109
1959-12-06	110
1959-12-13	159
1959-12-20	176
1959-12-27	176
1960-01-03	221
1960-01-10	187
1960-01-17	142
1960-01-24	237
1960-01-31	193
1960-02-07	163
1960-02-14	143
1960-02-21	123
1960-02-28	76
1960-03-06	159
1960-03-13	209
1960-03-20	242
1960-03-27	124
1960-04-03	143
1960-04-10	154
1960-04-18	187
1960-04-24	161
1960-05-01	167
1960-05-08	146
1960-05-15	166
1960-05-22	124
1960-05-29	156
1960-06-06	219
1960-06-12	141
1960-06-19	169
