# How often each 6-group pattern occurred (sorted by count descending)
# g1-g6: decade group (0-4) for each of the 6 drawn numbers in ascending order
g1	g2	g3	g4	g5	g6	count	probability
0	1	1	2	3	4	84	0.031878557874762806
0	1	2	3	4	4	79	0.029981024667931688
0	1	2	3	3	4	78	0.029601518026565465
0	0	1	2	3	4	67	0.025426944971537004
0	1	2	2	3	4	65	0.024667931688804556
0	0	2	3	3	4	48	0.018216318785578747
0	0	1	2	2	4	47	0.017836812144212524
0	2	2	3	3	4	43	0.01631878557874763
0	1	1	2	2	3	42	0.015939278937381403
0	1	2	2	3	3	42	0.015939278937381403
0	1	3	3	4	4	42	0.015939278937381403
0	0	1	3	4	4	41	0.01555977229601518
0	1	1	2	2	4	39	0.014800759013282733
1	2	3	3	4	4	38	0.014421252371916509
0	1	1	2	4	4	38	0.014421252371916509
1	1	2	2	3	4	36	0.01366223908918406
0	0	2	2	3	4	36	0.01366223908918406
0	1	1	3	3	4	36	0.01366223908918406
0	1	1	3	4	4	35	0.013282732447817837
0	0	1	2	4	4	34	0.012903225806451613
1	1	2	3	4	4	34	0.012903225806451613
0	0	1	1	2	3	34	0.012903225806451613
1	2	2	3	4	4	33	0.012523719165085389
0	1	1	2	3	3	33	0.012523719165085389
0	1	2	2	4	4	32	0.012144212523719165
0	0	1	1	2	4	31	0.011764705882352941
1	2	3	3	3	4	30	0.011385199240986717
0	2	2	3	4	4	29	0.011005692599620493
0	0	1	3	3	4	27	0.010246679316888045
0	0	2	3	4	4	27	0.010246679316888045
1	2	2	3	3	4	27	0.010246679316888045
0	0	1	2	2	3	27	0.010246679316888045
0	0	0	1	2	4	25	0.009487666034155597
0	0	1	1	3	4	25	0.009487666034155597
0	1	2	3	3	3	24	0.009108159392789373
1	2	2	2	3	4	23	0.00872865275142315
1	1	2	3	3	4	23	0.00872865275142315
1	1	1	2	3	4	23	0.00872865275142315
0	1	1	1	2	4	22	0.008349146110056925
0	1	2	4	4	4	22	0.008349146110056925
0	2	3	3	3	4	22	0.008349146110056925
1	1	2	2	3	3	21	0.007969639468690701
1	2	3	4	4	4	21	0.007969639468690701
