# How often each starting group/streak combination occurred (sorted by count descending)
# group: decade group of first number, streak: consecutive count in same group
group	streak	count	probability
0	1	1112	0.42233194075199393
0	2	646	0.2453475123433346
1	1	243	0.09229016331181163
1	2	215	0.08165590581086213
0	3	175	0.06646410938093429
1	3	89	0.03380174705658944
2	2	39	0.014812001519179644
2	3	31	0.011773642233194076
2	1	29	0.011014052411697683
1	4	21	0.007975693125712115
0	4	16	0.0060767185719711354
1	5	4	0.0015191796429927839
2	4	4	0.0015191796429927839
3	3	2	0.0007595898214963919
2	5	2	0.0007595898214963919
3	1	2	0.0007595898214963919
3	5	1	0.00037979491074819596
3	4	1	0.00037979491074819596
3	2	1	0.00037979491074819596
