Date	1	2	3	4	5	6	SZ
2005-01-01	2	21	22	27	36	44	2
2005-01-05	1	11	20	24	26	41	8
2005-01-08	2	5	14	35	39	42	8
2005-01-12	3	5	6	10	30	45	3
2005-01-15	6	17	28	37	41	45	3
2005-01-19	7	8	14	36	39	45	3
2005-01-22	2	4	23	35	39	47	9
2005-01-26	4	24	32	36	42	45	0
2005-01-29	9	14	21	23	28	36	4
2005-02-02	6	22	26	30	36	44	1
2005-02-05	7	11	17	18	21	42	8
2005-02-09	10	15	19	39	44	46	3
2005-02-12	16	27	31	33	36	41	1
2005-02-16	1	6	10	19	22	46	1
2005-02-19	9	26	36	41	42	45	6
2005-02-23	20	34	37	38	39	45	5
2005-02-26	1	7	16	23	25	37	0
2005-03-02	9	24	25	27	35	39	0
2005-03-05	5	8	16	26	43	47	2
2005-03-09	7	16	27	33	35	44	0
2005-03-12	2	3	6	20	24	39	5
2005-03-16	4	6	16	29	33	40	5
2005-03-19	4	5	7	9	48	49	3
2005-03-23	18	21	32	33	45	48	1
2005-03-26	2	7	21	34	35	48	6
2005-03-30	1	3	7	14	40	46	9
2005-04-02	5	8	18	37	43	49	6
2005-04-06	6	14	28	32	43	47	8
2005-04-09	11	29	30	32	39	40	5
2005-04-13	15	22	26	28	36	42	2
2005-04-16	1	18	19	24	26	36	7
2005-04-20	6	9	16	20	25	43	9
2005-04-23	4	7	13	21	37	49	9
2005-04-27	5	6	18	27	41	48	1
2005-04-30	8	18	22	31	34	48	3
2005-05-04	3	7	21	24	30	39	0
2005-05-07	6	9	25	29	38	43	4
2005-05-11	2	18	22	46	47	49	6
2005-05-14	14	25	30	35	37	38	6
2005-05-18	1	18	20	26	27	44	2
2005-05-21	2	21	37	40	41	49	4
2005-05-25	22	23	33	43	47	49	0
2005-05-28	6	7	28	29	34	43	5
2005-06-01	2	15	29	32	33	39	2
2005-06-04	1	6	19	25	43	47	8
2005-06-08	6	10	23	25	45	49	7
2005-06-11	9	13	18	24	29	30	8
2005-06-15	11	12	14	18	31	32	3
2005-06-18	8	18	26	27	28	49	9
2005-06-22	5	33	40	41	44	48	5
2005-06-25	5	17	20	21	24	40	9
2005-06-29	7	16	18	25	26	41	1
2005-07-02	1	12	17	29	40	41	4
2005-07-06	11	16	29	35	38	47	8
2005-07-09	4	5	27	40	42	48	3
2005-07-13	10	14	18	24	39	47	9
2005-07-16	1	25	30	31	42	49	1
2005-07-20	4	10	19	25	33	43	3
2005-07-23	2	14	37	45	46	47	9
2005-07-27	15	16	25	27	38	47	8
2005-07-30	12	19	22	42	43	45	1
2005-08-03	4	7	10	12	24	33	7
2005-08-06	1	7	23	24	33	42	5
2005-08-10	8	9	16	20	35	45	1
2005-08-13	10	25	26	34	35	44	4
2005-08-17	9	10	16	22	23	45	0
2005-08-20	1	2	17	18	22	40	5
2005-08-24	7	11	22	38	43	49	8
2005-08-27	1	9	23	38	42	47	7
2005-08-31	1	8	12	15	24	29	3
2005-09-03	5	20	24	41	46	49	8
2005-09-07	2	6	7	20	24	33	8
2005-09-10	17	19	27	31	37	48	1
2005-09-14	10	22	26	35	41	47	4
2005-09-17	8	16	17	28	29	43	9
2005-09-21	14	22	28	36	38	46	8
2005-09-24	9	23	25	26	40	48	9
2005-09-28	11	25	28	32	37	44	7
2005-10-01	9	14	20	37	44	47	0
2005-10-05	11	19	23	30	36	47	0
2005-10-08	5	6	14	25	43	49	8
2005-10-12	2	3	10	35	36	41	7
2005-10-15	3	9	15	36	40	43	8
2005-10-19	1	23	24	26	30	35	3
2005-10-22	4	9	11	26	31	47	2
2005-10-26	9	19	21	24	34	35	7
2005-10-29	2	5	11	18	30	31	4
2005-11-02	13	14	16	17	25	27	0
2005-11-05	5	7	29	40	46	47	1
2005-11-09	4	19	26	30	46	47	0
2005-11-12	12	16	28	33	36	40	8
2005-11-16	2	16	17	23	27	38	0
2005-11-19	1	4	30	38	40	49	7
2005-11-23	15	18	24	45	47	49	4
2005-11-26	5	12	21	32	34	40	4
2005-11-30	20	22	25	35	40	46	2
2005-12-03	2	6	17	36	47	49	3
2005-12-07	7	28	29	34	35	47	0
2005-12-10	2	7	28	30	33	46	6
2005-12-14	16	25	39	40	41	49	7
2005-12-17	3	9	10	22	41	42	8
2005-12-21	9	18	24	26	30	34	1
2005-12-24	8	19	24	30	36	38	0
2005-12-28	7	11	36	40	41	49	7
2005-12-31	13	21	35	36	42	44	3
